dataset,task,model,metric,val_score,test_score,best_params,n_iter,time_s
magic_telescope,classification,XGBoost,Accuracy,0.8756,0.8497,"{""colsample_bylevel"": 0.5705960855875244, ""colsample_bytree"": 0.7164339812605625, ""gamma"": 0.21238750217052046, ""learning_rate"": 0.001865486363543619, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 4700, ""reg_alpha"": 3.059123754721974e-06, ""reg_lambda"": 1.9257330807159851, ""subsample"": 0.6712584058116953}",50,29.4
magic_telescope,classification,MLP,Accuracy,0.8744,0.8537,"{""batch_size"": 512, ""hidden_layer_sizes"": [373, 373, 373, 373, 373], ""learning_rate_init"": 5.081019249615274e-05}",50,1945.63
electricity,classification,RandomForest,Accuracy,0.86,0.856,"{""bootstrap"": false, ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": 0.6, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 98}",50,76.47
electricity,classification,GBT,Accuracy,0.8756,0.8687,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.008295026386919662, ""loss"": ""exponential"", ""max_depth"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""n_estimators"": 782, ""subsample"": 0.7270637962496068}",50,133.59
electricity,classification,XGBoost,Accuracy,0.85,0.8527,"{""colsample_bylevel"": 0.7068859822763913, ""colsample_bytree"": 0.7823263085890955, ""gamma"": 8.950474284176544e-05, ""learning_rate"": 0.029768355713639946, ""max_depth"": 9, ""min_child_weight"": 2, ""n_estimators"": 3900, ""reg_alpha"": 1.2102258277987269e-08, ""reg_lambda"": 1.3155080678757627, ""subsample"": 0.5698464413954321}",50,25.6
electricity,classification,MLP,Accuracy,0.8189,0.8097,"{""batch_size"": 1024, ""hidden_layer_sizes"": [155, 155, 155], ""learning_rate_init"": 0.005206789935833379}",50,3307.63
house_16H,classification,RandomForest,Accuracy,0.8889,0.8847,"{""bootstrap"": true, ""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": 0.3, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 2050}",50,220.17
house_16H,classification,GBT,Accuracy,0.8811,0.8837,"{""criterion"": ""squared_error"", ""learning_rate"": 0.1861435532254412, ""loss"": ""log_loss"", ""max_depth"": 3, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 20, ""min_samples_split"": 2, ""n_estimators"": 584, ""subsample"": 0.9526540251274591}",50,130.77
house_16H,classification,XGBoost,Accuracy,0.8833,0.8917,"{""colsample_bylevel"": 0.7489105135939351, ""colsample_bytree"": 0.9352895019597379, ""gamma"": 3.0409901086500483e-05, ""learning_rate"": 0.0010246875722977693, ""max_depth"": 7, ""min_child_weight"": 2, ""n_estimators"": 5700, ""reg_alpha"": 2.4936230515465887e-08, ""reg_lambda"": 2.1471729919779654, ""subsample"": 0.5782464468722259}",50,52.4
house_16H,classification,MLP,Accuracy,0.8833,0.8717,"{""batch_size"": 1024, ""hidden_layer_sizes"": [155, 155, 155], ""learning_rate_init"": 0.005206789935833379}",50,1878.88
credit,classification,RandomForest,Accuracy,0.7711,0.7747,"{""bootstrap"": true, ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": 0.4, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 49, ""min_samples_split"": 2, ""n_estimators"": 88}",50,88.07
credit,classification,GBT,Accuracy,0.7678,0.7827,"{""criterion"": ""squared_error"", ""learning_rate"": 0.031014768139452427, ""loss"": ""log_loss"", ""max_depth"": 3, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 6, ""min_samples_split"": 2, ""n_estimators"": 658, ""subsample"": 0.8069460285684287}",50,72.41
credit,classification,XGBoost,Accuracy,0.7722,0.778,"{""colsample_bylevel"": 0.7207596595047248, ""colsample_bytree"": 0.8211534883253182, ""gamma"": 0.1175949129132327, ""learning_rate"": 0.00011220535519730278, ""max_depth"": 7, ""min_child_weight"": 6, ""n_estimators"": 1900, ""reg_alpha"": 0.03589616855127126, ""reg_lambda"": 2.0228735525191532, ""subsample"": 0.6187223288377963}",50,31.35
credit,classification,MLP,Accuracy,0.77,0.778,"{""batch_size"": 512, ""hidden_layer_sizes"": [715, 715, 715], ""learning_rate_init"": 4.558192019795864e-05}",50,1507.09
phoneme,classification,RandomForest,Accuracy,0.8846,0.8876,"{""bootstrap"": false, ""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": ""log2"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 313}",50,23.16
phoneme,classification,GBT,Accuracy,0.8776,0.895,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.008295026386919662, ""loss"": ""exponential"", ""max_depth"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""n_estimators"": 782, ""subsample"": 0.7270637962496068}",50,36.68
phoneme,classification,XGBoost,Accuracy,0.8811,0.8803,"{""colsample_bylevel"": 0.954042156928347, ""colsample_bytree"": 0.8069460285684287, ""gamma"": 2.7887422134129233e-06, ""learning_rate"": 0.048246151367840294, ""max_depth"": 5, ""min_child_weight"": 4, ""n_estimators"": 4900, ""reg_alpha"": 0.0003099127276542511, ""reg_lambda"": 2.134587720917215, ""subsample"": 0.9975354098822137}",50,10.51
phoneme,classification,MLP,Accuracy,0.8706,0.8571,"{""batch_size"": 512, ""hidden_layer_sizes"": [696, 696, 696, 696, 696, 696, 696, 696], ""learning_rate_init"": 0.0007725717622327446}",50,822.22
wine,classification,RandomForest,Accuracy,0.8391,0.8096,"{""bootstrap"": false, ""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": ""log2"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 313}",50,19.56
wine,classification,GBT,Accuracy,0.8348,0.794,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.06001615407984377, ""loss"": ""exponential"", ""max_depth"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 6, ""min_samples_split"": 2, ""n_estimators"": 376, ""subsample"": 0.9779273067146744}",50,24.34
wine,classification,XGBoost,Accuracy,0.8435,0.7953,"{""colsample_bylevel"": 0.9620692180880729, ""colsample_bytree"": 0.8586507865768859, ""gamma"": 0.009665432377729832, ""learning_rate"": 0.3916704418063828, ""max_depth"": 10, ""min_child_weight"": 2, ""n_estimators"": 5500, ""reg_alpha"": 4.592622170565641, ""reg_lambda"": 1.808719522137397, ""subsample"": 0.9806564503600304}",50,9.79
wine,classification,MLP,Accuracy,0.8478,0.7771,"{""batch_size"": 1024, ""hidden_layer_sizes"": [851, 851, 851, 851, 851, 851], ""learning_rate_init"": 0.0014154295876186108}",50,598.33
cpu_act,regression,RandomForest,R²,0.9785,0.9791,"{""bootstrap"": false, ""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": 0.6, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 98}",50,494.27
cpu_act,regression,GBT,R²,0.9834,0.9779,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.34018040342802963, ""loss"": ""squared_error"", ""max_depth"": 3, ""max_leaf_nodes"": 10, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 563, ""subsample"": 0.8390626846869489}",50,116.34
cpu_act,regression,XGBoost,R²,0.9834,0.9814,"{""colsample_bylevel"": 0.7258720510094268, ""colsample_bytree"": 0.831317246671813, ""gamma"": 0.000622685264674551, ""learning_rate"": 0.04698902151262105, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 5100, ""reg_alpha"": 5.7964994345987536e-05, ""reg_lambda"": 1.0522680948161378, ""subsample"": 0.5292824998405742}",50,54.06
cpu_act,regression,MLP,R²,0.9785,0.9641,"{""batch_size"": 512, ""hidden_layer_sizes"": [679, 679, 679, 679, 679, 679, 679], ""learning_rate_init"": 0.004619020831123907}",50,5971.62
elevators,regression,RandomForest,R²,0.7989,0.8057,"{""bootstrap"": true, ""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 28}",50,519.36
elevators,regression,GBT,R²,0.8883,0.8826,"{""criterion"": ""squared_error"", ""learning_rate"": 0.12185733494152733, ""loss"": ""squared_error"", ""max_depth"": 3, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 8, ""min_samples_split"": 2, ""n_estimators"": 334, ""subsample"": 0.9078558220015158}",50,126.18
elevators,regression,XGBoost,R²,0.8928,0.8901,"{""colsample_bylevel"": 0.9158440321286085, ""colsample_bytree"": 0.8352304418615406, ""gamma"": 1.244166149985539e-08, ""learning_rate"": 0.021021092381980955, ""max_depth"": 4, ""min_child_weight"": 7, ""n_estimators"": 1700, ""reg_alpha"": 0.0034507758038729536, ""reg_lambda"": 1.614523162959235, ""subsample"": 0.658013154300439}",50,22.64
elevators,regression,MLP,R²,0.9085,0.907,"{""batch_size"": 256, ""hidden_layer_sizes"": [799, 799, 799, 799, 799], ""learning_rate_init"": 0.00023429943744521751}",50,13309.41
wine_quality,regression,RandomForest,R²,0.5099,0.5109,"{""bootstrap"": false, ""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": 0.6, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 98}",50,487.09
wine_quality,regression,GBT,R²,0.5248,0.5103,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.008295026386919662, ""loss"": ""absolute_error"", ""max_depth"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""n_estimators"": 782, ""subsample"": 0.7270637962496068}",50,156.32
wine_quality,regression,XGBoost,R²,0.4958,0.5034,"{""colsample_bylevel"": 0.7258720510094268, ""colsample_bytree"": 0.831317246671813, ""gamma"": 0.000622685264674551, ""learning_rate"": 0.04698902151262105, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 5100, ""reg_alpha"": 5.7964994345987536e-05, ""reg_lambda"": 1.0522680948161378, ""subsample"": 0.5292824998405742}",50,27.59
wine_quality,regression,MLP,R²,0.4131,0.393,"{""batch_size"": 256, ""hidden_layer_sizes"": [985, 985], ""learning_rate_init"": 0.00013476464919725363}",50,2568.41
diamonds,regression,RandomForest,R²,0.9512,0.9438,"{""bootstrap"": false, ""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 8, ""min_samples_split"": 2, ""n_estimators"": 27}",50,219.76
diamonds,regression,GBT,R²,0.9503,0.9453,"{""criterion"": ""squared_error"", ""learning_rate"": 0.031014768139452427, ""loss"": ""huber"", ""max_depth"": 3, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 6, ""min_samples_split"": 2, ""n_estimators"": 658, ""subsample"": 0.8069460285684287}",50,126.56
diamonds,regression,XGBoost,R²,0.9509,0.9453,"{""colsample_bylevel"": 0.7489105135939351, ""colsample_bytree"": 0.9352895019597379, ""gamma"": 3.0409901086500483e-05, ""learning_rate"": 0.0010246875722977693, ""max_depth"": 7, ""min_child_weight"": 2, ""n_estimators"": 5700, ""reg_alpha"": 2.4936230515465887e-08, ""reg_lambda"": 2.1471729919779654, ""subsample"": 0.5782464468722259}",50,28.31
diamonds,regression,MLP,R²,0.9474,0.9412,"{""batch_size"": 512, ""hidden_layer_sizes"": [778, 778, 778, 778, 778, 778, 778, 778], ""learning_rate_init"": 0.0014765211251440292}",50,4840.37
isolet,regression,RandomForest,R²,0.8365,0.8185,"{""bootstrap"": false, ""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": 0.6, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 98}",50,12219.0
isolet,regression,GBT,R²,0.8372,0.813,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.008295026386919662, ""loss"": ""absolute_error"", ""max_depth"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""n_estimators"": 782, ""subsample"": 0.7270637962496068}",50,3186.64
isolet,regression,XGBoost,R²,0.8555,0.8374,"{""colsample_bylevel"": 0.6639789146619722, ""colsample_bytree"": 0.5000761409953371, ""gamma"": 0.000997657537098848, ""learning_rate"": 0.004532945532181335, ""max_depth"": 7, ""min_child_weight"": 13, ""n_estimators"": 5300, ""reg_alpha"": 3.933978695731316e-08, ""reg_lambda"": 2.4967561817166226, ""subsample"": 0.6181651577572149}",50,3399.87
isolet,regression,MLP,R²,0.8669,0.8474,"{""batch_size"": 256, ""hidden_layer_sizes"": [332, 332], ""learning_rate_init"": 0.0037647842132064713}",50,3138.04
pol,classification,RandomForest,Accuracy,0.9833,0.967,"{""bootstrap"": false, ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 1638}",50,50.25
pol,classification,GBT,Accuracy,0.9867,0.982,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.34018040342802963, ""loss"": ""log_loss"", ""max_depth"": 3, ""max_leaf_nodes"": 10, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 563, ""subsample"": 0.8390626846869489}",50,54.94
pol,classification,XGBoost,Accuracy,0.9833,0.9807,"{""colsample_bylevel"": 0.9620692180880729, ""colsample_bytree"": 0.8586507865768859, ""gamma"": 0.009665432377729832, ""learning_rate"": 0.3916704418063828, ""max_depth"": 10, ""min_child_weight"": 2, ""n_estimators"": 5500, ""reg_alpha"": 4.592622170565641, ""reg_lambda"": 1.808719522137397, ""subsample"": 0.9806564503600304}",50,27.75
pol,classification,MLP,Accuracy,0.9489,0.948,"{""batch_size"": 256, ""hidden_layer_sizes"": [907], ""learning_rate_init"": 0.007528926501884327}",50,3418.7
kdd_ipums_la_97-small,classification,RandomForest,Accuracy,0.9036,0.8773,"{""bootstrap"": false, ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": 0.6, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 98}",50,34.41
kdd_ipums_la_97-small,classification,GBT,Accuracy,0.9015,0.8863,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.008295026386919662, ""loss"": ""exponential"", ""max_depth"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""n_estimators"": 782, ""subsample"": 0.7270637962496068}",50,57.89
kdd_ipums_la_97-small,classification,XGBoost,Accuracy,0.8972,0.8895,"{""colsample_bylevel"": 0.7489105135939351, ""colsample_bytree"": 0.9352895019597379, ""gamma"": 3.0409901086500483e-05, ""learning_rate"": 0.0010246875722977693, ""max_depth"": 7, ""min_child_weight"": 2, ""n_estimators"": 5700, ""reg_alpha"": 2.4936230515465887e-08, ""reg_lambda"": 2.1471729919779654, ""subsample"": 0.5782464468722259}",50,19.86
kdd_ipums_la_97-small,classification,MLP,Accuracy,0.8994,0.8838,"{""batch_size"": 512, ""hidden_layer_sizes"": [818, 818, 818, 818, 818, 818, 818], ""learning_rate_init"": 0.00039071169241368576}",50,1043.42
eye_movements,classification,RandomForest,Accuracy,0.6263,0.6137,"{""bootstrap"": true, ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": 0.1, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 52}",50,196.12
eye_movements,classification,GBT,Accuracy,0.6365,0.6636,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.06001615407984377, ""loss"": ""exponential"", ""max_depth"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 6, ""min_samples_split"": 2, ""n_estimators"": 376, ""subsample"": 0.9779273067146744}",50,112.06
eye_movements,classification,XGBoost,Accuracy,0.6117,0.6233,"{""colsample_bylevel"": 0.6086907339503705, ""colsample_bytree"": 0.6798799067054271, ""gamma"": 0.0003473882018407258, ""learning_rate"": 0.04408999513869338, ""max_depth"": 8, ""min_child_weight"": 23, ""n_estimators"": 1900, ""reg_alpha"": 0.0012461253948507385, ""reg_lambda"": 1.6736075977024796, ""subsample"": 0.848750617895526}",50,31.94
eye_movements,classification,MLP,Accuracy,0.6044,0.5799,"{""batch_size"": 1024, ""hidden_layer_sizes"": [440, 440, 440, 440, 440], ""learning_rate_init"": 0.0005511290282161932}",50,1089.33
jannis,classification,RandomForest,Accuracy,0.7933,0.77,"{""bootstrap"": true, ""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": 0.8, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 1534}",50,927.1
jannis,classification,GBT,Accuracy,0.8022,0.777,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.06001615407984377, ""loss"": ""exponential"", ""max_depth"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 6, ""min_samples_split"": 2, ""n_estimators"": 376, ""subsample"": 0.9779273067146744}",50,433.36
jannis,classification,XGBoost,Accuracy,0.7956,0.7697,"{""colsample_bylevel"": 0.8544982525049046, ""colsample_bytree"": 0.9477592340930423, ""gamma"": 0.05110174904354536, ""learning_rate"": 0.0007583382435087658, ""max_depth"": 11, ""min_child_weight"": 13, ""n_estimators"": 4100, ""reg_alpha"": 6.67932982873768e-07, ""reg_lambda"": 2.921129933012587, ""subsample"": 0.6448020425966494}",50,149.58
jannis,classification,MLP,Accuracy,0.7756,0.7427,"{""batch_size"": 1024, ""hidden_layer_sizes"": [936, 936, 936, 936, 936, 936, 936, 936], ""learning_rate_init"": 0.0025985384198656007}",50,1369.6
Ailerons,regression,RandomForest,R²,0.8359,0.8169,"{""bootstrap"": true, ""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 28}",50,803.42
Ailerons,regression,GBT,R²,0.8501,0.8349,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.008295026386919662, ""loss"": ""absolute_error"", ""max_depth"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""n_estimators"": 782, ""subsample"": 0.7270637962496068}",50,271.17
Ailerons,regression,XGBoost,R²,0.825,0.8192,"{""colsample_bylevel"": 0.6634132666582853, ""colsample_bytree"": 0.8770162146438187, ""gamma"": 5.482317678578979e-07, ""learning_rate"": 0.023014239091539025, ""max_depth"": 7, ""min_child_weight"": 36, ""n_estimators"": 1900, ""reg_alpha"": 6.165783203717856e-07, ""reg_lambda"": 1.18713118383686, ""subsample"": 0.9412163216907921}",50,19.12
Ailerons,regression,MLP,R²,0.8227,0.7561,"{""batch_size"": 256, ""hidden_layer_sizes"": [159, 159, 159, 159], ""learning_rate_init"": 0.000151822937097812}",50,15663.47
house_sales,regression,RandomForest,R²,0.8631,0.879,"{""bootstrap"": true, ""criterion"": ""absolute_error"", ""max_depth"": null, ""max_features"": 0.8, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 1534}",50,509.73
house_sales,regression,GBT,R²,0.8769,0.8916,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.008295026386919662, ""loss"": ""absolute_error"", ""max_depth"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""n_estimators"": 782, ""subsample"": 0.7270637962496068}",50,240.52
house_sales,regression,XGBoost,R²,0.8796,0.8955,"{""colsample_bylevel"": 0.6639789146619722, ""colsample_bytree"": 0.5000761409953371, ""gamma"": 0.000997657537098848, ""learning_rate"": 0.004532945532181335, ""max_depth"": 7, ""min_child_weight"": 13, ""n_estimators"": 5300, ""reg_alpha"": 3.933978695731316e-08, ""reg_lambda"": 2.4967561817166226, ""subsample"": 0.6181651577572149}",50,39.69
house_sales,regression,MLP,R²,0.8429,0.8641,"{""batch_size"": 256, ""hidden_layer_sizes"": [925, 925, 925, 925, 925, 925], ""learning_rate_init"": 0.005398409048775974}",50,7738.96
superconduct,regression,RandomForest,R²,0.9072,0.8903,"{""bootstrap"": false, ""criterion"": ""absolute_error"", ""max_depth"": null, ""max_features"": ""log2"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 313}",50,2519.99
superconduct,regression,GBT,R²,0.9077,0.8873,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.008295026386919662, ""loss"": ""absolute_error"", ""max_depth"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""n_estimators"": 782, ""subsample"": 0.7270637962496068}",50,610.57
superconduct,regression,XGBoost,R²,0.9081,0.8912,"{""colsample_bylevel"": 0.7068859822763913, ""colsample_bytree"": 0.7823263085890955, ""gamma"": 8.950474284176544e-05, ""learning_rate"": 0.029768355713639946, ""max_depth"": 9, ""min_child_weight"": 2, ""n_estimators"": 3900, ""reg_alpha"": 1.2102258277987269e-08, ""reg_lambda"": 1.3155080678757627, ""subsample"": 0.5698464413954321}",50,542.99
superconduct,regression,MLP,R²,0.8898,0.8734,"{""batch_size"": 256, ""hidden_layer_sizes"": [792, 792, 792, 792, 792, 792, 792], ""learning_rate_init"": 0.0004323400819856085}",50,5720.65
Brazilian_houses,regression,RandomForest,R²,0.9662,0.9947,"{""bootstrap"": false, ""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": 0.6, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 98}",50,248.19
Brazilian_houses,regression,GBT,R²,0.9863,0.9981,"{""criterion"": ""squared_error"", ""learning_rate"": 0.681588675231356, ""loss"": ""huber"", ""max_depth"": 3, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""n_estimators"": 947, ""subsample"": 0.8823542193640076}",50,93.8
Brazilian_houses,regression,XGBoost,R²,0.985,0.9962,"{""colsample_bylevel"": 0.7102273878505958, ""colsample_bytree"": 0.9139406806121158, ""gamma"": 0.003536152198928343, ""learning_rate"": 0.07039238770904203, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 2700, ""reg_alpha"": 2.430422114711425e-08, ""reg_lambda"": 3.821517268928454, ""subsample"": 0.5925665494192269}",50,21.56
Brazilian_houses,regression,MLP,R²,0.9906,0.995,"{""batch_size"": 512, ""hidden_layer_sizes"": [772, 772, 772, 772], ""learning_rate_init"": 4.032629049479268e-05}",50,5079.19
fifa,regression,RandomForest,R²,0.6445,0.6755,"{""bootstrap"": true, ""criterion"": ""absolute_error"", ""max_depth"": null, ""max_features"": 0.4, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 6, ""min_samples_split"": 2, ""n_estimators"": 589}",50,212.8
fifa,regression,GBT,R²,0.6459,0.6746,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.017624105048981004, ""loss"": ""squared_error"", ""max_depth"": 4, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 10, ""min_samples_split"": 2, ""n_estimators"": 184, ""subsample"": 0.5916240542788882}",50,124.3
fifa,regression,XGBoost,R²,0.6546,0.6891,"{""colsample_bylevel"": 0.5848971904698292, ""colsample_bytree"": 0.9762273316150404, ""gamma"": 1.0033936775250487, ""learning_rate"": 0.0436115671816018, ""max_depth"": 5, ""min_child_weight"": 7, ""n_estimators"": 3300, ""reg_alpha"": 2.7510876987660695, ""reg_lambda"": 2.148225807918684, ""subsample"": 0.9323626269049261}",50,22.97
